top,seq,sredni_czas,mediana_czas,max_czas,stddevi,cluster_results_KMeans,cluster_results_KMedoids
-l-p-l,222,78990.0,78990.0,150880.0,101667.8129990018,1,3
-pd+l,413,0.0,0.0,0.0,0.0,1,2
-p-l-p,344,430413.3333333333,173020.0,1000000.0,430718.1050996186,2,0
+p+p+p,423,1000000.0,1000000.0,1000000.0,0.0,0,1
-p-l-l,311,77240.0,73680.0,140320.0,52134.00170074549,1,3
-p-p-p,432,657508.8888888889,1000000.0,1000000.0,428552.0690780889,0,1
+l+l+p,122,100340.0,72320.0,158300.0,50204.01179188771,1,3
+pd-p,232,0.0,0.0,0.0,0.0,1,2
-l-l-l,312,535460.0,556800.0,1000000.0,509540.792478875,2,0
+p+l+p,342,345898.0,241300.0,1000000.0,379181.3540246936,2,0
+p+p+l,114,0.0,0.0,0.0,0.0,1,2
-p-l-l,331,314916.6666666667,95530.0,1000000.0,419587.76729142864,2,0
-p-l-p,442,340630.0,221690.0,1000000.0,359976.51231459784,2,0
-ld+p,243,385176.3636363637,66060.0,1000000.0,487984.7657309135,2,0
-p-l-l,414,33697.142857142855,9960.0,135140.0,48177.18744879355,1,3
+ld-l,442,224240.0,264230.0,391260.0,169620.93267046966,3,3
-pd+l,132,438746.0,266490.0,1000000.0,433099.8330947111,2,0
+pd-p,424,109887.5,42550.0,522700.0,171832.7332653141,3,3
+l+l+l,334,796378.3333333334,1000000.0,1000000.0,374560.30576065474,0,1
-ld+l,243,613062.0,827660.0,1000000.0,439609.63748914027,0,1
+l+p+p,312,612141.6666666666,534640.0,1000000.0,363428.17306695954,2,0
+l+p+p,233,594690.9090909091,1000000.0,1000000.0,479539.7698096488,0,1
d+pd,114,100.0,100.0,100.0,0.0,1,2
+p+l+l,324,394146.6666666667,311880.0,833340.0,404385.480616371,2,0
-p-l-p,224,380750.0,131790.0,1000000.0,444181.019280303,2,0
-ld+p,414,0.0,0.0,0.0,0.0,1,2
+l+l+p,443,828100.0,1000000.0,1000000.0,342214.65105982823,0,1
-ld+p,141,0.0,0.0,0.0,0.0,1,2
+p+p+l,434,468660.0,380100.0,1000000.0,421850.5819731805,2,0
+p+l+l,124,0.0,0.0,0.0,0.0,1,2
d+pd,442,70537.77777777778,8680.0,310680.0,102417.900019696,3,3
+ld-l,422,25416.0,3720.0,93660.0,39404.20637444688,1,2
-l-p-p,222,0.0,0.0,0.0,0.0,1,2
-pd+l,222,42103.333333333336,33700.0,89360.0,32193.55815480275,1,2
-l-p-l,321,0.0,0.0,0.0,0.0,1,2
d+pd,111,0.0,0.0,0.0,0.0,1,2
+l+l+l,331,476233.3333333333,134900.0,1000000.0,498491.2513775944,2,0
+l+p+p,124,318411.1111111111,116680.0,1000000.0,395649.3869717368,2,0
+l+l+l,143,600684.4444444445,1000000.0,1000000.0,483525.9538822893,0,1
d-pd,121,0.0,0.0,0.0,0.0,1,2
+pd-l,341,273785.71428571426,169720.0,1000000.0,328385.2285988284,2,0
+l+p+l,243,508170.0,486330.0,1000000.0,473049.7651199079,2,0
-ld+p,423,145366.66666666666,33000.0,401160.0,222067.22615760603,3,3
d+pd,313,584640.0,806540.0,1000000.0,435717.3589993097,0,1
-l-l-l,321,327626.6666666667,109600.0,852640.0,456845.4011296746,2,0
+p+p+l,414,0.0,0.0,0.0,0.0,1,2
+l+p+l,314,577425.0,524110.0,1000000.0,408176.27066791087,2,0
-p-l-l,324,465705.0,596880.0,686000.0,249897.69035638275,2,0
-p-l-p,234,406015.0,399970.0,1000000.0,358394.9727858663,2,0
-p-l-l,131,395013.3333333333,151420.0,1000000.0,460318.3057407125,2,0
-p-l-l,431,495295.0,313390.0,1000000.0,427353.1870545887,2,0
-l-p-l,411,0.0,0.0,0.0,0.0,1,2
-p-l-p,334,547525.0,659030.0,1000000.0,429474.92602225125,0,1
-l-p-l,444,567947.2727272727,1000000.0,1000000.0,496803.02183241415,0,1
-l-l-l,413,570500.0,634480.0,1000000.0,419836.359740316,0,1
-pd+l,321,39960.0,39960.0,39960.0,0.0,1,2
-ld+p,223,54175.0,39630.0,218540.0,71344.96938917879,1,3
+p+p+p,134,0.0,0.0,0.0,0.0,1,2
-p-l-l,111,38880.0,38880.0,67940.0,41097.04612256214,1,2
+p+p+l,212,0.0,0.0,0.0,0.0,1,2
+pd-l,442,468278.3333333333,263010.0,1000000.0,485871.3584672263,2,0
d+pd,422,381705.0,263230.0,1000000.0,452140.5891607904,2,0
+l+p+l,123,202312.0,231740.0,403400.0,177664.94229307031,3,3
-l-p-p,134,2446.6666666666665,2240.0,3820.0,1282.5495442022243,1,2
+ld-l,411,0.0,0.0,0.0,0.0,1,2
+p+l+p,244,294097.14285714284,265860.0,1000000.0,331546.13644329534,2,0
-l-p-p,221,0.0,0.0,0.0,0.0,1,2
+l+l+l,113,6580.0,3460.0,15260.0,7615.4579639047315,1,2
-p-l-p,332,55353.333333333336,50880.0,119940.0,38973.70780410814,1,3
-p-l-p,143,456967.2727272727,343140.0,1000000.0,426662.00555219135,2,0
+ld-l,342,473342.5,437790.0,1000000.0,461654.2949545688,2,0
+ld-p,313,560.0,560.0,560.0,0.0,1,2
+p+p+l,323,50132.0,28760.0,114840.0,45180.09428941024,1,3
+p+p+l,224,97793.33333333331,46000.0,224680.0,110502.90554249391,3,3
-l-l-p,123,18773.33333333333,12220.0,38760.0,17647.48518439195,1,2
-p-l-l,234,698095.5555555555,1000000.0,1000000.0,456257.3216703243,0,1
+l+p+p,112,160714.54545454544,57080.0,695300.0,233153.16478073536,3,0
-l-l-l,224,421218.0,216240.0,1000000.0,450852.63958169054,2,0
+l+p+p,241,624586.6666666666,1000000.0,1000000.0,454494.9606981358,0,1
+l+p+l,411,10560.0,10560.0,10560.0,0.0,1,2
+pd-p,111,0.0,0.0,0.0,0.0,1,2
+pd-l,422,17400.0,17400.0,17400.0,0.0,1,2
-p-l-p,314,34300.0,26850.0,76320.0,32254.120150248506,1,2
+l+l+l,414,48580.0,27280.0,139840.0,51744.79168637812,1,3
-l-l-p,341,939692.0,1000000.0,1000000.0,159175.01400799197,0,1
+ld-p,234,590946.6666666666,685890.0,1000000.0,460469.3302562796,0,1
-ld+p,121,0.0,0.0,0.0,0.0,1,2
+p+p+p,421,0.0,0.0,0.0,0.0,1,2
+p+p+p,132,0.0,0.0,0.0,0.0,1,2
+pd-p,243,60233.333333333336,9580.0,167980.0,93366.8920620866,1,3
-p-l-p,411,0.0,0.0,0.0,0.0,1,2
-ld+l,342,850563.3333333334,1000000.0,1000000.0,366043.5821957089,0,1
+p+l+p,432,642310.0,1000000.0,1000000.0,450771.5910625812,0,1
-p-l-l,133,607518.0,726850.0,1000000.0,429385.6472734556,0,1
+ld-p,213,2500.0,2500.0,3180.0,961.6652224137048,1,2
+l+p+p,442,864953.3333333334,1000000.0,1000000.0,294654.5812961134,0,1
+pd-l,214,0.0,0.0,0.0,0.0,1,2
d-pd,234,217993.3333333333,83110.0,897720.0,337047.91888790333,2,0
-p-p-l,113,480517.77777777775,275140.0,1000000.0,435035.38826679887,2,0
