top,seq,sredni_czas,mediana_czas,max_czas,skladalnosc,obecnosc,n_600ns,n_1us,stddevi,etykieta
-p-l-l,443,579964.4444444445,1000000.0,1000000.0,0.5,9,5,5,498396.0471129138,BARDZO STABILNY
-p-l-l,444,831066.6666666666,1000000.0,1000000.0,1.0,12,9,8,299802.3021724129,BARDZO STABILNY
-p-l-p,111,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,112,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,113,3280.0,3280.0,3280.0,0.5,1,0,0,,NIESTABILNY
-p-l-p,114,0.0,0.0,0.0,0.75,0,0,0,,NIESTABILNY
-p-l-p,121,2440.0,2440.0,2440.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,122,25180.0,25180.0,47840.0,0.5,2,0,0,32046.079323374335,NIESTABILNY
-p-l-p,123,40600.0,11260.0,183180.0,1.0,7,0,0,65175.95875781192,NIESTABILNY
-p-l-p,124,144824.0,48210.0,1000000.0,1.0,10,1,1,304073.45907782804,BARDZO STABILNY
-p-l-p,131,6740.0,6740.0,6740.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,132,157951.42857142858,14340.0,1000000.0,0.5,7,1,1,371765.4364169506,ŚREDNIO STABILNY
-p-l-p,133,67345.0,54450.0,146460.0,1.0,4,0,0,61154.81638159554,NIESTABILNY
-p-l-p,134,600111.1111111111,906140.0,1000000.0,1.0,9,5,4,455094.45515311556,BARDZO STABILNY
-p-l-p,141,214360.0,171590.0,509080.0,0.25,4,0,0,235776.65872600707,NIESTABILNY
-p-l-p,142,133154.2857142857,16840.0,384680.0,0.25,7,0,0,171072.98665161827,SŁABO STABILNY
-p-l-p,143,456967.2727272727,343140.0,1000000.0,0.75,11,4,3,426662.00555219135,BARDZO STABILNY
-p-l-p,144,602398.3333333334,639010.0,1000000.0,1.0,12,7,4,404046.9586082861,BARDZO STABILNY
-p-l-p,211,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,212,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,213,59266.666666666664,20640.0,155500.0,0.75,3,0,0,83879.08519609243,NIESTABILNY
-p-l-p,214,29566.666666666668,29700.0,31960.0,0.25,3,0,0,2462.708536009353,NIESTABILNY
-p-l-p,221,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,222,81073.33333333333,50950.0,263280.0,0.25,6,0,0,98159.76908421631,SŁABO STABILNY
-p-l-p,223,59890.90909090909,56100.0,246620.0,0.75,11,0,0,73047.14716599758,NIESTABILNY
-p-l-p,224,380750.0,131790.0,1000000.0,0.75,10,3,3,444181.019280303,BARDZO STABILNY
-p-l-p,231,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,232,193454.0,137460.0,482440.0,1.0,10,0,0,182922.82624101345,SŁABO STABILNY
-p-l-p,233,219731.66666666666,132000.0,1000000.0,1.0,12,1,1,284436.1110507893,BARDZO STABILNY
-p-l-p,234,406015.0,399970.0,1000000.0,1.0,12,4,2,358394.9727858663,BARDZO STABILNY
-p-l-p,241,6460.0,6460.0,6460.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,242,77906.66666666667,43890.0,300120.0,1.0,12,0,0,92343.17825208839,SŁABO STABILNY
-p-l-p,243,614648.3333333334,741880.0,1000000.0,0.75,12,6,5,412913.7034612203,BARDZO STABILNY
-p-l-p,244,535494.5454545454,406580.0,1000000.0,1.0,11,4,4,394254.1984142626,BARDZO STABILNY
-p-l-p,311,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,312,480.0,480.0,480.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,313,21310.0,16880.0,49900.0,0.25,4,0,0,23886.160567715076,NIESTABILNY
-p-l-p,314,34300.0,26850.0,76320.0,1.0,4,0,0,32254.120150248506,NIESTABILNY
-p-l-p,321,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,322,19420.0,8580.0,52500.0,0.75,6,0,0,21491.866368466002,NIESTABILNY
-p-l-p,323,62513.333333333336,57080.0,120700.0,0.5,6,0,0,55751.911417158306,NIESTABILNY
-p-l-p,324,172106.0,40760.0,721620.0,1.0,10,1,0,232362.63307358368,ŚREDNIO STABILNY
-p-l-p,331,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,332,55353.333333333336,50880.0,119940.0,0.5,9,0,0,38973.70780410814,NIESTABILNY
-p-l-p,333,358620.0,187220.0,1000000.0,0.75,9,2,2,388335.92004860943,BARDZO STABILNY
-p-l-p,334,547525.0,659030.0,1000000.0,0.75,12,7,4,429474.92602225125,BARDZO STABILNY
-p-l-p,341,12052.0,15320.0,23380.0,0.0,5,0,0,9322.731359424663,NIESTABILNY
-p-l-p,342,138555.0,90550.0,426000.0,0.5,8,0,0,132650.00210004844,SŁABO STABILNY
-p-l-p,343,501365.0,293170.0,1000000.0,1.0,12,5,5,449458.8240115196,BARDZO STABILNY
-p-l-p,344,430413.3333333333,173020.0,1000000.0,1.0,12,4,4,430718.1050996186,BARDZO STABILNY
-p-l-p,411,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,412,3480.0,3480.0,3480.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,413,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
-p-l-p,414,88086.66666666667,84480.0,177120.0,0.5,3,0,0,87285.90340560916,NIESTABILNY
-p-l-p,421,21980.0,21980.0,21980.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,422,99011.11111111111,77740.0,273440.0,0.5,9,0,0,93558.98626594407,SŁABO STABILNY
-p-l-p,423,35804.0,22500.0,70920.0,0.25,5,0,0,26597.606659246616,NIESTABILNY
-p-l-p,424,589316.3636363636,916220.0,1000000.0,0.75,11,6,5,470905.784276913,BARDZO STABILNY
-p-l-p,431,1040.0,1040.0,1040.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,432,52996.36363636364,20620.0,222780.0,0.75,11,0,0,67139.13423223855,NIESTABILNY
-p-l-p,433,638424.4444444445,914320.0,1000000.0,0.75,9,6,4,459289.4781918891,BARDZO STABILNY
-p-l-p,434,584473.3333333334,671930.0,1000000.0,1.0,12,6,6,443762.35960935283,BARDZO STABILNY
-p-l-p,441,230360.0,230360.0,230360.0,0.0,1,0,0,,NIESTABILNY
-p-l-p,442,340630.0,221690.0,1000000.0,0.75,12,2,2,359976.51231459784,BARDZO STABILNY
-p-l-p,443,413640.0,198840.0,1000000.0,0.5,12,4,3,408743.0316114381,BARDZO STABILNY
-p-l-p,444,618088.0,839920.0,1000000.0,1.0,10,6,5,437610.233498055,BARDZO STABILNY
-p-p-l,111,0.0,0.0,0.0,0.25,0,0,0,,NIESTABILNY
-p-p-l,112,57350.0,31080.0,212440.0,0.5,6,0,0,78012.50643326364,NIESTABILNY
-p-p-l,113,480517.77777777775,275140.0,1000000.0,0.75,9,4,3,435035.38826679887,BARDZO STABILNY
-p-p-l,114,495238.1818181818,262240.0,1000000.0,0.5,11,4,4,427439.45053815946,BARDZO STABILNY
-p-p-l,121,20650.0,20650.0,38900.0,0.25,2,0,0,25809.397513308984,NIESTABILNY
-p-p-l,122,19193.333333333332,19860.0,33520.0,0.75,3,0,0,14671.364399173422,NIESTABILNY
-p-p-l,123,547252.0,535800.0,1000000.0,1.0,10,5,4,437978.5668221169,BARDZO STABILNY
-p-p-l,124,835952.7272727273,1000000.0,1000000.0,1.0,11,9,8,331506.79561936314,BARDZO STABILNY
-p-p-l,131,34895.0,27290.0,67720.0,0.5,4,0,0,22880.042977815112,NIESTABILNY
-p-p-l,132,246610.0,43830.0,1000000.0,0.25,6,1,1,394141.7354708836,ŚREDNIO STABILNY
-p-p-l,133,519517.77777777775,429840.0,1000000.0,0.75,9,4,4,472520.70424950105,BARDZO STABILNY
-p-p-l,134,511670.0,484470.0,1000000.0,1.0,12,5,4,432851.54309952084,BARDZO STABILNY
-p-p-l,141,9180.0,9180.0,9180.0,0.5,1,0,0,,NIESTABILNY
-p-p-l,142,10465.714285714286,6660.0,32220.0,0.5,7,0,0,11271.478544158641,NIESTABILNY
-p-p-l,143,0.0,0.0,0.0,0.25,0,0,0,,NIESTABILNY
-p-p-l,144,944380.0,1000000.0,1000000.0,1.0,12,11,11,192673.3318339619,BARDZO STABILNY
-p-p-l,211,51660.0,51660.0,51660.0,0.5,1,0,0,,NIESTABILNY
-p-p-l,212,50128.0,8780.0,152760.0,0.75,5,0,0,65902.14048117102,NIESTABILNY
